variable,block
dev_battery,01_ausstattung
dev_battery_time,01_ausstattung
dev_box,01_ausstattung
dev_box_time,01_ausstattung
dev_heat,01_ausstattung
dev_heat_time,01_ausstattung
dev_hems,01_ausstattung
dev_hems_time,01_ausstattung
dev_pv,01_ausstattung
dev_pv_time,01_ausstattung
acc_pre,02_akzeptanz_pre
part_pre_hypo,02_teilnahme_pre
part_pre_real,02_teilnahme_pre
rand_freq,03_experiment_randfreq
control_batt,04_geraeteauswahl_steuerung
control_batt_time,04_geraeteauswahl_steuerung
control_ev,04_geraeteauswahl_steuerung
control_ev_time,04_geraeteauswahl_steuerung
control_heat,04_geraeteauswahl_steuerung
control_heat_time,04_geraeteauswahl_steuerung
control_info,04_geraeteauswahl_steuerung
control_info_time,04_geraeteauswahl_steuerung
control_pv,04_geraeteauswahl_steuerung
control_pv_time,04_geraeteauswahl_steuerung
flex_batt,05_eingriffspraeferenzen
flex_batt_time,05_eingriffspraeferenzen
flex_ev,05_eingriffspraeferenzen
flex_ev_time,05_eingriffspraeferenzen
flex_heat,05_eingriffspraeferenzen
flex_heat_time,05_eingriffspraeferenzen
flex_pv,05_eingriffspraeferenzen
flex_pv_time,05_eingriffspraeferenzen
fin_amount_certainty,06_verguetung_wtp
fin_amount_certainty_time,06_verguetung_wtp
fin_amount_year,06_verguetung_wtp
fin_amount_year_other,06_verguetung_wtp
fin_amount_year_time,06_verguetung_wtp
fin_form,06_verguetung_wtp
fin_form_time,06_verguetung_wtp
fin_structure,06_verguetung_wtp
fin_structure_time,06_verguetung_wtp
restrictions_year,06_verguetung_wtp
auto_trust,07_vertrauen_kontrolle
auto_trust_info_demand,07_vertrauen_kontrolle
auto_trust_info_demand_time,07_vertrauen_kontrolle
auto_trust_time,07_vertrauen_kontrolle
config_depth,07_vertrauen_kontrolle
config_depth_time,07_vertrauen_kontrolle
config_device,07_vertrauen_kontrolle
config_device_time,07_vertrauen_kontrolle
config_override,07_vertrauen_kontrolle
config_override_time,07_vertrauen_kontrolle
config_time,07_vertrauen_kontrolle
config_time_time,07_vertrauen_kontrolle
info_content_1,08_information_app
info_content_2,08_information_app
info_content_3,08_information_app
info_content_4,08_information_app
info_content_5,08_information_app
info_content_6,08_information_app
info_content_98,08_information_app
info_content_99,08_information_app
info_content_time,08_information_app
info_form_1,08_information_app
info_form_2,08_information_app
info_form_3,08_information_app
info_form_4,08_information_app
info_form_98,08_information_app
info_form_99,08_information_app
info_form_time,08_information_app
info_trust,08_information_app
info_trust_time,08_information_app
motive,09_motive
alter,10_soziodemografie
bild,10_soziodemografie
eink,10_soziodemografie
geschl,10_soziodemografie
pers,10_soziodemografie
strom_rechnung,10_soziodemografie
wohn,10_soziodemografie
wohnort,10_soziodemografie
acc_post,zz_unspecified
part_post_hypo,zz_unspecified
part_post_real,zz_unspecified
